episode,timestep,reward,raw_reward
1,156,-1011.0846246859471,-1011.0846246859471
2,286,-1011.5707706440733,-1012.0569166021994
3,760,-1014.5862304547292,-1020.6171500760412
4,980,-1014.952043997333,-1016.0494846251443
5,1269,-1015.9566243739098,-1019.9749458802168
6,1444,-1014.387565676256,-1006.542272187987
7,1944,-871.1758466314203,-11.905532362405962
8,2214,-888.7542505389968,-1011.8030778920327
9,2319,-901.8743518913088,-1006.8351627098056
10,2819,-812.8962763505596,-12.093596483816267
11,2964,-830.6789741858855,-1008.505952539146
12,3105,-845.734103417812,-1011.3405249690024
13,3483,-858.5351457638075,-1012.1476539157534
14,3614,-869.3447000653949,-1009.8689059860318
15,4114,-811.8105623298394,-6.332634032062706
16,4614,-761.5230457542406,-7.210297120255796
17,5114,-717.2979126324221,-9.695782683327302
18,5614,-677.7857501014684,-6.078987075253305
19,6114,-642.4281461174295,-5.991274404728724
20,6614,-610.6637973546228,-7.141170861295935
21,6730,-610.5542157478951,-1008.8929925513943
22,6871,-610.5236807376492,-1011.4462163972827
23,7371,-560.1566012599592,-13.275560522241028
24,7517,-559.8522136316162,-1009.9617320582845
25,7680,-559.3746499535788,-1010.4236723194681
26,7806,-559.5248654603391,-1009.546582323195
27,8306,-559.3298214412401,-8.004651980424795
28,8806,-509.2932034514324,-11.070718095877087
29,9306,-459.50813768937525,-11.133847468662424
30,9434,-509.3851078575893,-1009.6329998480965
31,9732,-509.42604396090627,-1009.3246746054882
32,9804,-509.17354152119634,-1006.2904761748019
33,9920,-509.10906869273794,-1010.8581973465882
34,10420,-459.0753756145875,-9.195044423021193
35,10524,-509.1204416097736,-1007.2339539357848
36,11024,-509.0482187735054,-5.7658403948933685
37,11524,-508.927005948273,-7.271526178678535
38,11618,-558.9994831273088,-1007.5285306559689
39,12118,-558.930841193269,-4.618435723933316
40,12618,-558.9730531156104,-7.9854093081249085
41,12729,-559.122830077367,-1011.8885317865236
42,13229,-508.92327232071875,-7.4550612643189575
43,13729,-508.4438842518845,-3.687799145555329
44,13875,-508.3784575836081,-1008.6531986927562
45,14300,-508.2886317168662,-1008.6271549846319
46,14366,-508.0916183569898,-1005.6063151256649
47,14465,-558.1040063291916,-1008.252411424465
48,14588,-607.8826715452145,-1006.6440224163325
49,14989,-658.0901374517691,-1015.2831655997559
50,15489,-607.7413842472545,-2.6579357578031493
51,15989,-557.3992317745056,-2.48162515050692
52,16228,-557.8538044315364,-1015.3819293154216
53,16728,-507.4944923327174,-3.671955370207114
54,17228,-507.2559797985904,-4.424793740481141
55,17728,-457.2364686522659,-6.843731009294341
56,18228,-457.1004722543406,-3.0459124363876686
57,18303,-507.027713939238,-1005.8163598766265
58,18803,-456.84813090219404,-3.936869915091635
59,18880,-506.9215772700334,-1006.08736308072
60,18974,-556.8587607633415,-1006.729079174288
61,19474,-506.43096961293065,-3.3327087783028353
62,19974,-506.28719787599346,-4.579626525577472
63,20474,-506.4159034601997,-6.2619108296744885
64,20974,-456.16456836064583,-3.626496701681422
65,21474,-405.9918341470468,-5.172470712652771
66,21769,-406.2158061626334,-1010.0857554373971
67,21859,-406.17869688885656,-1007.510225948929
68,22359,-356.82266561192216,-19.52339687764364
69,22394,-356.302526283311,-1004.8803790275333
70,22478,-406.54227340211145,-1007.4528781338126
71,22595,-457.2580095873145,-1016.7963488545681
72,23095,-406.88607428238186,-7.943223216767155
73,23595,-406.89601237636447,-3.8707172498608564
74,24095,-407.0013558866795,-6.531663946781401
75,24595,-406.80981143790126,-3.012842033729499
76,25095,-406.86835470156336,-4.216777709630488
77,25236,-406.9977281657668,-1008.4038291606947
78,25736,-407.07955259632683,-5.573358526293349
79,26236,-357.28032321986416,-10.102775551465303
80,26736,-307.29153694111875,-6.95335359937922
81,26820,-357.50220414840396,-1007.5460529240069
82,26887,-407.57691697393295,-1006.073883036158
83,27387,-407.6271825807976,-7.267222966966314
84,27811,-457.9777251918902,-1010.6373489235348
85,28311,-458.11262677084625,-7.870502291773469
86,28400,-457.9910194789186,-1007.6536095988434
87,28900,-407.95531398393007,-6.796116049157653
88,29400,-407.58721524619176,-12.161422122878436
89,29900,-357.7400799219243,-7.937672542184781
90,30400,-307.832683892732,-9.30495754996631
91,30900,-257.5533842782794,-11.210356565516145
92,31400,-257.58861350154086,-8.647807681996694
93,31900,-257.7656938952584,-7.412325124210727
94,32400,-257.8791683691893,-8.801153425399987
95,32463,-308.00060307049455,-1005.4415360598343
96,32583,-358.11298500582166,-1006.464416416172
97,32675,-358.0875987379296,-1007.8961038028547
98,32748,-408.10983773124264,-1006.0181383925542
99,33248,-407.92087014277445,-6.323423782100421
100,33748,-407.92257247535775,-6.987400251046016
101,34248,-357.83886835549157,-5.8719705266817455
102,34344,-357.9024004386728,-1007.3445246997845
103,34540,-408.08672201644936,-1010.9536545224962
104,35040,-357.7950189488118,-4.803287570783505
105,35243,-407.9506101138888,-1010.9823255933143
106,35743,-357.86757746451985,-5.992956611463796
107,36243,-357.8177155966771,-5.798878692304115
108,36359,-408.0053364225211,-1015.9138386397576
109,36859,-408.0745186757134,-9.32131760603096
110,37028,-458.33773291947,-1014.5692424250975
111,37528,-458.08925933971597,-6.2408849704362614
112,38028,-457.905010549299,-4.962831873656157
113,38251,-508.1152183031768,-1011.6164802017657
114,38431,-558.1047272487119,-1008.5913323361013
115,38931,-508.0794947749522,-4.936886584643215
116,39285,-508.3524003685085,-1011.9225282872983
117,39597,-508.5355704655145,-1011.5595057429746
118,39713,-508.6807570371411,-1008.9218698250862
119,39952,-558.8477048091196,-1009.6623792216693
120,40452,-558.709244590347,-4.218195875596011
121,40952,-558.5663859759585,-3.0147982389111667
122,41452,-508.3911747099016,-3.840299378645422
123,41890,-508.23539154999855,-1007.837991324434
124,42390,-508.2647634630656,-5.390725832126603
125,42599,-508.4337710271352,-1014.362476874705
126,43099,-508.79516543285564,-13.220844725871924
127,43599,-509.0346830747394,-10.58923152997945
128,43735,-508.88356523802497,-1012.8914819054693
129,44031,-559.0656115969201,-1012.9622447839332
130,44488,-558.8741258829571,-1010.7395281458367
131,44624,-608.9134832484009,-1007.0280322793125
132,44756,-659.1696447955471,-1010.0860628165832
133,45256,-609.0820832281502,-9.865248853824701
134,45756,-559.1614679529896,-10.179026832890804
135,46256,-559.9666443768984,-21.04041506281966
136,46415,-560.0720572113327,-1014.0307849759834
137,46643,-560.1577844948383,-1013.2740514130887
138,46876,-560.2350031069248,-1010.466242066812
139,47030,-560.5043013483008,-1015.0483440491928
140,47182,-611.018557814235,-1014.5033251942793
141,47420,-661.3570752911991,-1009.7851477781932
142,47772,-711.7231597836156,-1011.161989226978
143,47985,-711.8879220342326,-1011.133236336773
144,48485,-712.149840371575,-10.629092578974605
145,48898,-712.5933667795059,-1023.233005033323
146,49126,-762.3873857503629,-1009.1012241430084
147,49550,-812.4215091300532,-1011.2716991237862
148,49776,-812.4386368105658,-1013.2340355157202
149,50066,-812.3226155363283,-1010.6418192991839
150,50566,-762.2182698450972,-8.652614321215706
151,51028,-762.3358654074839,-1009.3799435270478
152,51186,-762.618491660962,-1015.7385878861468
153,51445,-812.7038493075211,-1011.5724017850041
