episode,timestep,reward
1,222,-1022.8948040598609
2,366,-1022.6995806757068
3,582,-1022.7775961413645
4,774,-1022.741569223123
5,1061,-1022.7748748169872
6,1183,-1022.5631059449632
7,1387,-1022.524807576504
8,1523,-1022.6267370805206
9,1640,-1022.7072526295602
10,1807,-1022.6990955080622
11,1945,-1022.7519068553422
12,2163,-1022.7656203529413
13,2360,-1022.7827378203331
14,2498,-1022.8581451987615
15,2617,-1022.8748434754939
16,2764,-1022.9203695758818
17,2879,-1022.9717778209643
18,3018,-1022.9962210365866
19,3166,-1023.0247939375452
20,3313,-1023.0681480851474
21,3429,-1023.1102083584096
22,3563,-1023.1226926457854
23,3787,-1023.096428107995
24,3928,-1023.1020083626922
25,4063,-1023.1036816881231
26,4246,-1023.1070603910459
27,4387,-1023.103268324284
28,4506,-1023.1182511508316
29,4673,-1023.1002483087589
30,4868,-1023.0761181812758
31,5024,-1023.0614373097932
32,5174,-1023.0726960133003
33,5546,-1023.0565042406994
34,5751,-1023.0495175758692
35,5867,-1023.0545769146842
36,6084,-1023.0561768667552
37,6355,-1023.0594889350177
38,6571,-1023.052830098027
39,6705,-1023.0770225498953
40,6868,-1023.0766702979618
41,7175,-1023.0682660734028
42,7435,-1023.0526843628587
43,7804,-1023.0585867984291
44,8069,-1023.0867944675832
45,8322,-1023.079107419657
46,8492,-1023.0682021146491
47,8760,-1023.0664075920915
48,8937,-1023.0790435389689
49,9139,-1023.0818755323182
50,9380,-1023.0793884971326
51,9776,-1023.0875292036469
52,10053,-1023.0874145655483
53,10218,-1023.1236456486924
54,10580,-1023.1371739726615
55,10794,-1023.1277102535005
56,11004,-1023.1479266865177
57,11392,-1023.1411424268368
58,11820,-1023.1340926825322
59,12053,-1023.131501239128
60,12489,-1023.1370164588124
61,12791,-1023.1493312030444
62,12926,-1023.1547865884872
63,13216,-1023.1523110690919
64,13716,-1007.1815819384532
65,14144,-1007.4273017308934
66,14331,-1007.6574631949268
67,14536,-1007.9023342708691
68,14776,-1008.1424158935059
69,15001,-1008.3654132868995
70,15187,-1008.584578734379
71,15318,-1008.8062030132237
72,15521,-1009.0028828401258
73,16021,-995.2478193829055
74,16287,-995.6228467067523
75,16482,-995.9854860276114
76,16629,-996.3528791551289
77,16800,-996.6960373275441
78,16954,-997.0428964094035
79,17197,-997.3683660204325
80,17354,-997.7002905373607
81,17514,-998.0147458523187
82,17812,-998.3162036432399
83,18288,-998.6388099293214
84,18788,-986.8972889974751
85,19097,-987.3165223987538
86,19274,-987.7363158021976
87,19499,-988.135389093218
88,19760,-988.5416497812657
89,20063,-988.9307198986846
90,20187,-989.3157788759203
91,20366,-989.6873649951615
92,20548,-990.0445647934555
93,20682,-990.406362241605
94,20854,-990.7548786876504
95,21093,-991.0952881692789
96,21384,-991.4286307516894
97,21716,-991.751390509311
98,21859,-992.08414780489
99,22034,-992.4063752260715
100,22485,-992.7286543252605
101,22803,-992.7259229944455
102,23133,-992.7310680676594
103,23378,-992.7307982791847
104,23517,-992.7429886269928
105,23732,-992.7440513583667
106,23963,-992.7544440067954
107,24296,-992.7582622165718
108,24610,-992.7559770876532
109,24764,-992.7507722099131
110,24970,-992.767542897944
111,25268,-992.7614071520284
112,25453,-992.766292686161
113,25624,-992.7695755350849
114,25855,-992.764208501626
115,26036,-992.7689278666861
116,26386,-992.7661520828207
117,26516,-992.7634455701134
118,26741,-992.7548149374222
119,26885,-992.7558090908328
120,27174,-992.7444236972108
121,27395,-992.7335609058334
122,27625,-992.7273486581132
123,27758,-992.7384748113108
124,27955,-992.7356039784811
125,28191,-992.7310408689068
126,28393,-992.7261340339512
127,28532,-992.7401324319907
128,28816,-992.7315998376051
129,28995,-992.7373422044585
130,29182,-992.7407429958096
131,29466,-992.7408283959808
132,29701,-992.7378451993867
133,29849,-992.7507088199872
134,30205,-992.7559491818373
135,30499,-992.757407882768
136,30732,-992.7513784604109
137,30980,-992.7431094589375
138,31280,-992.7404951398123
139,31501,-992.7282501762174
140,31729,-992.7248297786487
141,31900,-992.7405694382132
142,32170,-992.7406442599163
143,32506,-992.7384211491144
144,32689,-992.7329907409498
145,32863,-992.7404776116316
146,33181,-992.7490298841083
147,33353,-992.7539057876728
148,33524,-992.7587477032382
149,33771,-992.7551694922837
150,33914,-992.7703034052253
151,34111,-992.7758890480198
152,34277,-992.7781600975084
153,34443,-992.7668275485512
154,34781,-992.7565372665242
155,35089,-992.7645317238624
156,35373,-992.7585363224176
157,35554,-992.7669676141606
158,35788,-992.7638029493552
159,35996,-992.7596971610385
160,36193,-992.7708197157775
161,36495,-992.7629816807614
162,36740,-992.7595839699244
163,37077,-992.7636706125944
164,37244,-1002.9883134513699
165,37424,-1003.0050070812107
166,37684,-1003.0171566908457
167,38037,-1003.0146135174924
168,38344,-1003.0005515572561
169,38578,-1002.9924799759683
170,38876,-1002.9848495831334
171,39045,-1002.9632391484431
172,39187,-1002.9762304470729
173,39391,-1013.1591624612961
174,39504,-1013.1670121917667
175,39663,-1013.1740802620767
176,39798,-1013.1629342288912
177,39975,-1013.1645636949552
178,40098,-1013.1590207037523
179,40252,-1013.1637681615575
180,40367,-1013.1617628702646
181,40501,-1013.165803395336
182,40671,-1013.1641560557753
183,40883,-1013.1393162201199
184,41029,-1023.248657631099
185,41149,-1023.2574865498776
186,41338,-1023.2563512322598
187,41566,-1023.2583309443039
188,41761,-1023.246001473855
189,41912,-1023.2493255304848
190,42070,-1023.2392845672965
191,42263,-1023.2365000230841
192,42403,-1023.2411263158367
193,42540,-1023.2412576628765
194,42659,-1023.2469207188442
195,42813,-1023.2439148680974
196,43020,-1023.2416409302193
197,43162,-1023.2463791487603
198,43310,-1023.2359080801049
199,43430,-1023.2329568002003
200,43645,-1023.2169372243405
201,43807,-1023.2213759326069
202,43980,-1023.2213066342198
203,44189,-1023.2200850351396
204,44359,-1023.2166515152661
205,44479,-1023.227855189018
206,44599,-1023.2358377628159
207,44768,-1023.2357453884516
208,44998,-1023.2358085987802
209,45198,-1023.2331407672572
210,45315,-1023.2243058668053
211,45439,-1023.2337009613032
212,45570,-1023.232876229159
213,45732,-1023.2266013252201
214,45905,-1023.2231683331161
215,46019,-1023.227155196152
216,46166,-1023.2258015665648
217,46328,-1023.2170296578358
218,46492,-1023.2160200255531
219,46679,-1023.2080624497103
220,46801,-1023.2098148081085
221,46967,-1023.2080550217979
222,47085,-1023.2121788225335
223,47224,-1023.2087979678759
224,47350,-1023.2060642017403
225,47476,-1023.2088429743977
226,47595,-1023.2220511796014
227,47759,-1023.2082909064537
228,47887,-1023.2080613153524
229,47997,-1023.2063927106276
230,48144,-1023.2115748029892
231,48278,-1023.2116814240472
232,48406,-1023.2123152096929
233,48597,-1023.1987641858557
234,48704,-1023.1950646265991
235,48831,-1023.1899442447753
236,49004,-1023.1902956655722
237,49165,-1023.190387737154
238,49359,-1023.1962360616501
239,49496,-1023.1945248465922
240,49662,-1023.1902455228175
241,49781,-1023.1770198306955
242,49898,-1023.1882577634583
